2026-05-03 08:59:29 AUDIT | timestamp=2026-05-03T03:29:29.410187900Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:29 AUDIT | timestamp=2026-05-03T03:29:29.784598100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:32 AUDIT | timestamp=2026-05-03T03:29:32.286273700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:32 AUDIT | timestamp=2026-05-03T03:29:32.365388300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:32 AUDIT | timestamp=2026-05-03T03:29:32.367991500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:32 AUDIT | timestamp=2026-05-03T03:29:32.468601500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:35 AUDIT | timestamp=2026-05-03T03:29:35.230294200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:35 AUDIT | timestamp=2026-05-03T03:29:35.346628400Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:35 AUDIT | timestamp=2026-05-03T03:29:35.410231Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:35 AUDIT | timestamp=2026-05-03T03:29:35.460725800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:35 AUDIT | timestamp=2026-05-03T03:29:35.941891100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:36 AUDIT | timestamp=2026-05-03T03:29:36.070432Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:37 AUDIT | timestamp=2026-05-03T03:29:37.886639100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=BLOCK | attackType=THROTTLE_ABUSE | statusCode=429
2026-05-03 08:59:38 AUDIT | timestamp=2026-05-03T03:29:38.290685400Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:38 AUDIT | timestamp=2026-05-03T03:29:38.413213500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:38 AUDIT | timestamp=2026-05-03T03:29:38.419734100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:38 AUDIT | timestamp=2026-05-03T03:29:38.503853200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:40 AUDIT | timestamp=2026-05-03T03:29:40.967969800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:41 AUDIT | timestamp=2026-05-03T03:29:41.343083Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:41 AUDIT | timestamp=2026-05-03T03:29:41.450636200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:41 AUDIT | timestamp=2026-05-03T03:29:41.543359700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:43 AUDIT | timestamp=2026-05-03T03:29:43.995252900Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:44 AUDIT | timestamp=2026-05-03T03:29:44.377763Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:44 AUDIT | timestamp=2026-05-03T03:29:44.452723800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:44 AUDIT | timestamp=2026-05-03T03:29:44.470042Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:59:46 AUDIT | timestamp=2026-05-03T03:29:46.982193300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
